state,fold,population,household.size,race.pctblack,race.pctwhite,race.pctasian,race.pcthisp,age.pct12to21,age.pct12to29,age.pct16to24,age.pct65up,num.urban,pct.urban,med.income,pct.wage.inc,pct.farmself.inc,pct.inv.inc,pct.socsec.inc,pct.pubasst.inc,pct.retire,med.family.inc,percap.inc,white.percap,black.percap,indian.percap,asian.percap,other.percap,hisp.percap,num.underpov,pct.pop.underpov,pct.less9thgrade,pct.not.hsgrad,pct.bs.ormore,pct.unemployed,pct.employed,pct.employed.manuf,pct.employed.profserv,pct.occup.manuf,pct.occup.mgmtprof,male.pct.divorce,male.pct.nvrmarried,female.pct.divorce,total.pct.divorce,ave.people.per.fam,pct.fam2parents,pct.kids2parents,pct.youngkids2parents,pct.teens2parents,pct.workmom.youngkids,pct.workmom,num.kids.nvrmarried,pct.kids.nvrmarried,num.immig,pct.immig.recent,pct.immig.recent5,pct.immig.recent8,pct.immig.recent10,pct.pop.immig,pct.pop.immig5,pct.pop.immig8,pct.pop.immig10,pct.english.only,pct.no.english.well,pct.fam.hh.large,pct.occup.hh.large,ave.people.per.hh,ave.people.per.ownoccup.hh,ave.people.per.rented.hh,pct.people.ownoccup.hh,pct.people.dense.hh,pct.hh.less3br,med.num.br,num.vacant.house,pct.house.occup,pct.house.ownoccup,pct.house.vacant,pct.house.vacant.6moplus,med.yr.house.built,pct.house.nophone,pct.house.no.plumb,value.ownoccup.house.lowquart,value.ownoccup.med,value.ownoccup.highquart,rent.lowquart,rent.med,rent.highquart,med.rent,med.rent.aspct.hhinc,med.owncost.aspct.hhinc.wmort,med.owncost.as.pct.hhinc.womort,num.in.shelters,num.homeless,pct.foreignborn,pct.born.samestate,pct.samehouse1985,pct.samecity1985,pct.samestate1985,land.area,pop.density,pct.use.publictransit,pct.police.drugunits,violentcrimes.perpop
CA,2,10.77538743,2.93,1.12,88.49,5.62,15.16,14.02,25.49,11.98,9.42,10.77538743,100,46116,82.93,0.88,45.18,20.63,5.34,14.14,51444,18573,19088,15411,9.765316843,9.654000026,12617,13904,7.75319427,4.96,4.47,16.32,22.16,4.3,66.23,19.34,23,9.71,31.12,8.77,27.92,12.44,10.68,3.27,80.92,77.73,89.54,80.24,57.53,67.03,6.391917113,1.66,8.697512746,11.44,17.86,27.21,34.81,1.43,2.24,3.41,4.36,81.86,2.4,6.66,5.18,2.88,2.96,2.65,76.01,5.65,31.89,3,6.309918278,96.75,73.94,0.55,22.95,1962,0.99,0.14,183000,231600,311700,535,657,837,729,27.8,24.2,11.7,0,0,12.52,54.26,54.46,90.04,94.32,3.054001182,2371.5,0.871293366,0,294.92
FL,2,9.259892151,2.67,4.66,91.37,3.03,3.06,15.3,27.32,13.17,8.19,9.259892151,100,31510,82.98,0.5,45.13,20.19,4.15,32.81,35482,13742,14142,11352,7.294377299,8.920121752,10005,11555,6.776506992,8.44,5.11,14.19,22.41,5.82,66.2,8.34,22.62,9.93,32.65,9.08,23.5,11.53,10.31,3.02,80.66,77.58,81.3,88.08,65.28,75.86,4.060443011,0.72,6.274762021,8.11,10.38,12.64,20.94,0.41,0.52,0.64,1.06,91.05,0.83,2.76,2.13,2.64,2.74,2.44,69.22,1.73,34.32,3,5.768320996,92.51,66.71,0.94,34.8,1977,2.79,0,60300,74000,92100,224,318,433,410,27.1,21.7,11.2,0,0,5.04,22.11,46.4,67.45,71.48,2.48490665,957.3,0.322083499,0,190.95
FL,2,9.230339058,2.58,46.61,52.6,0.27,1.69,15.75,26.23,12.69,16.27,0,0,14579,61.23,1.49,23.56,37.9,23.03,15.18,18522,7989,11376,4244,7.035268599,0,600,7427,8.202482447,36.51,17.41,40.75,8.97,11.85,44.74,19.69,23.22,19.02,20.66,12.88,30.93,18.17,15.99,3.22,44.28,35.52,46.97,36.91,62.19,66.42,6.91770561,9.9,4.605170186,9.09,16.16,16.16,22.22,0.09,0.16,0.16,0.22,96.81,0.7,8.72,5.67,2.52,2.47,2.58,50.79,6.41,55.75,2,5.932245187,91.31,51.94,3.72,28.46,1965,16.21,1.83,29800,41100,57000,99,180,286,234,27.3,16,12.8,1.386294361,2.63905733,0.97,62.93,50.52,83.21,92.08,2.014903021,1564.6,1.278152203,0,2650.26
CA,2,9.646334685,3.52,2.66,55.96,16.26,40.05,16.5,29.95,15.44,9.84,9.646334685,100,36383,79.72,0.55,30.08,22.12,14.03,13.28,37332,12724,15281,11803,9.382695764,9.355392644,7712,9966,7.247080585,9.28,23.35,43.5,13.42,6.62,59.24,22.82,19.19,22.85,18.85,7.2,37.15,11.25,9.25,3.82,77.51,68.41,80.52,76.13,64.85,63.77,6.210600077,4.1,8.678291112,13.72,22.9,33.13,42.6,5.21,8.7,12.58,16.18,43.12,15.02,17.45,13.88,3.4,3.54,3.21,58.81,22.23,58.14,2,4.94875989,96.91,56.42,1.43,15,1963,2.3,1.01,150100,205800,260700,513,639,778,700,27,23.4,11.8,0,0,37.98,40.87,54.08,84.1,88.86,0.993251773,9248.8,0.774727168,0,1640.6
CA,2,10.44697396,3.04,10.97,73.14,4.81,22.76,15.06,29.79,13.66,6.15,10.44697396,100,31561,81.2,0.78,30.29,18.29,13.84,17.72,34022,12567,13684,9092,9.247828816,9.260462981,9419,8974,8.594339401,15.79,8.27,25.62,13.75,8.66,61.53,10.45,25.77,15.13,20.89,12.11,29.85,16.93,14.59,3.39,68.33,62.7,75.6,67.72,49.61,58.35,7.187657164,5.07,8.290794347,12.72,25.61,34.62,49.67,1.47,2.96,4.01,5.75,80.25,4.42,9.11,7.12,3.03,2.98,3.11,60.02,11.39,48.19,3,7.127693699,90.09,61.06,3.53,19.12,1969,6.58,0.37,78600,103300,149700,368,444,530,509,29.8,23.7,11,0,0,11.57,50.41,35.04,71.52,86.38,2.714694744,2450.1,0.693147181,0,880.44
FL,2,9.387398099,2.1,15.14,83.45,0.67,3.88,8.35,18.79,8.7,29.71,9.387398099,100,26233,53.87,0.1,50.45,51.07,5.94,27.92,33500,16125,18070,7000,9.286282376,9.123801611,8397,5652,7.175489714,11.5,8.27,22.5,16.82,4.98,46.42,8.42,24.6,10.03,24,12.95,25.14,14.05,13.55,2.62,62.8,56.58,82.46,65.09,60.96,78.18,6.142037406,4.3,6.692083743,6.96,10.43,18.51,25.34,0.47,0.7,1.25,1.71,92.11,1.27,3.36,1.86,1.99,1.97,2.01,64.1,3.62,77.62,2,7.192182059,81.09,64.48,1.36,39.46,1974,4.94,0.37,58200,76500,99500,322,424,514,507,29.7,19.8,11.1,3.295836866,0.693147181,6.74,22.41,48.16,72.13,80.17,1.722766598,2619.8,0,0,1095.46
FL,2,9.247539813,2.09,0.17,98.88,0.59,2.48,7.02,14.68,7.1,25.27,9.247539813,100,40934,62.09,0.28,63.47,45.18,2.4,18.97,53350,28696,28947,11200,0,9.577203242,0,14473,6.249975242,4.98,5.74,14.88,27.58,4.36,53.1,8.33,21.79,5.15,32.86,10.12,18.74,10.32,10.23,2.61,85.71,85.85,100,97.32,71.38,61.96,2.564949357,0.14,6.849066283,4.99,6.9,15.5,21.55,0.45,0.63,1.41,1.96,89.29,1.35,1.73,1.09,2.09,2.15,1.76,86.31,0.77,53.45,2,6.673297968,86.28,83.77,12.66,27.97,1965,0.89,0,136300,193400,327200,431,507,639,561,28.1,25.5,12.4,0,0,9.08,14.89,57.37,83.15,86.71,1.223775432,4367.8,0.636576829,0,178.57
CA,2,11.18980963,3.31,20.35,57.93,3.53,31.48,16.06,28.59,12.9,6.19,11.18980963,100,36233,81.99,0.54,26.33,20.68,12.49,15.13,38483,11862,13152,11687,9.420277096,9.149421957,8168,9020,9.073489189,12.12,8.65,26.81,10.16,8.12,61.96,17.46,19.91,19.44,19.31,9.55,29.11,14.28,12.01,3.67,73.99,68.69,79.18,72.71,50.67,60.06,7.934513464,5.08,9.146228427,17.33,26.68,38.29,48.18,2.24,3.46,4.96,6.24,75.96,5.15,13.44,10.95,3.3,3.36,3.18,71.2,11.55,36.28,3,7.572502985,91.85,70.04,2.32,25.48,1977,3.63,0.19,100700,125500,146600,403,510,617,583,32.6,25,12.3,2.397895273,0.693147181,12.96,55.18,41.23,65.03,92.92,3.135494216,3288.6,0.598836501,0,1380.76
CA,2,10.85659226,2.73,0.33,89.29,4.72,16.9,12.68,26.13,12.04,13.17,10.85659226,100,30739,75.21,1.08,37.22,26.93,12.37,16.86,35795,14638,15183,4900,9.18584274,9.468928284,7741,7993,8.745921121,12.6,13.79,27.68,13.89,6.45,58.84,16.67,20.98,18.62,21.61,12.07,27.01,15.13,13.64,3.11,71.73,69.23,75.55,72.18,51.61,60.96,7.021976423,2.8,8.601901919,12,27.51,35.01,43.34,1.26,2.89,3.67,4.55,80.77,4.41,6.05,4.29,2.63,2.62,2.65,54.04,8.64,53.68,2,6.516193076,96.57,54.3,1.63,13.93,1969,3.46,0.68,95500,126300,160200,340,426,537,499,26.9,22,11.7,5.075173815,3.828641396,10.49,55.99,40.91,76.35,91.58,2.48490665,4722.7,0.09531018,0,1195.76
CA,3,13.49249142,2.37,10.92,53.56,29.13,13.91,10.07,26.71,12.21,12.88,13.49249142,100,33414,75.18,0.65,47.42,23.77,10.42,14.37,40561,19695,26222,11829,9.348884181,9.446676517,10174,11400,11.40778715,12.66,11.33,21.98,35.04,6.2,63.03,9.25,27.26,8.94,34.65,10.61,48.19,13.18,11.9,3.21,67.71,61.75,79.31,72.14,62.69,68.6,9.933628709,4.91,12.41322908,17.1,25.76,37.48,48.08,5.81,8.75,12.74,16.34,57.59,12.52,10.29,4.93,2.29,2.66,2.09,40.1,10.75,75.09,2,10.03836803,93.03,34.52,3.94,27.54,1939,2.56,1.54,230200,298900,392100,429,613,839,653,28,24.6,11.8,8.29504914,7.356918242,33.98,34.98,48.11,72.79,82.98,3.899950424,14962.8,3.580180037,6.19,1810.07
CA,3,10.67378094,2.78,4.11,80.28,7.59,25.56,13.93,28.69,13.86,9.67,10.67378094,100,38907,82.04,0.54,38.17,21.34,7.21,13.04,44375,16259,16896,14428,9.919656134,9.503532238,13002,12073,8.083945702,7.63,5.42,17.52,16.37,5.35,66.65,17.69,20.41,13.02,26.33,10.61,31.52,16.16,13.54,3.22,70.72,66.71,84.51,75.63,58.75,68.42,6.525029658,2.17,8.836083191,14.47,23.11,34.2,45.24,2.3,3.68,5.44,7.2,76.39,4.09,7.33,5.28,2.74,2.9,2.53,61.39,8.34,48.54,3,6.363028104,96.41,58.08,1.21,20.03,1962,1.89,0.17,168900,200700,242800,506,601,710,652,28.3,24.6,11.1,3.931825633,0,15.92,52.93,48.77,88.58,92.42,2.104134154,6041.2,1.345472367,0,686.47
CA,3,9.649949225,3.33,2.07,56.77,4.87,67.37,15.81,29.07,14.59,11.06,9.649949225,100,33313,79.94,0.17,20.68,31.93,17.31,18.86,37010,11196,12391,10292,9.278092474,9.530683227,8962,9629,7.400620577,10.57,14.36,40.94,7.06,8.61,58.33,28.17,16.49,23.17,14.86,9.2,33.5,14.65,12.04,3.75,71.46,60.6,78.27,65.92,56.07,61.59,6.679599186,5.43,8.223358899,16.94,24.69,28.82,42.94,4.07,5.93,6.92,10.31,47.83,10.35,16.63,13.29,3.33,3.45,3.11,67.13,18.9,53.56,2,5.087596335,96.66,64.86,0.62,14.29,1958,2.75,0.33,144900,170400,191000,405,578,695,629,28.7,23,11.2,0,0,24.01,56.76,59.32,90.86,94.16,2.302585093,1728.3,1.294727168,0,2089.32
CA,3,11.37258235,1.94,4.51,82.8,6.39,14.05,7.62,21.72,8.68,14.05,11.37258235,100,35997,75.32,0.6,48.27,21.85,4.76,10.37,51085,29134,31506,13801,9.560574619,10.17011196,11390,13293,8.98469369,9.35,5.51,12.51,43.39,4.81,65.83,9.49,33.55,5.17,46.61,13.78,43.11,18.43,16.26,2.8,69.12,69.13,87.94,64.26,58.83,65.1,7.393263095,3.53,9.998388558,11.43,18.16,25.88,35.26,2.89,4.6,6.55,8.92,72.69,4.65,4.22,1.73,1.88,2.33,1.71,34.14,5.38,81.69,2,7.970394907,93.94,27.51,6.64,40.41,1958,1.36,0.44,393600,500001,500001,381,498,648,532,22.2,25.5,11.3,5.765191103,5.910796644,25.3,33.13,52.78,84.79,88.29,2.261763098,10143,1.857859271,3.73,1651.73
FL,3,11.04504757,2.68,7.49,89.25,1.76,5.29,11.9,26.35,11.03,10.7,11.04504757,100,30287,80.75,0.56,39.9,23.58,3.82,20.37,32725,12645,13052,9057,9.315870873,9.21413317,8550,9650,8.599510234,8.73,5.01,17.89,16.66,5.84,63.88,24.57,16.84,12.13,25.28,9.62,23.87,12.86,11.27,3.05,79.06,75.6,90.4,78.75,64.05,70.36,6.458338283,1.43,8.436416881,13.29,17.5,25.46,32.38,0.98,1.29,1.87,2.38,90,1.11,3.99,3.04,2.67,2.7,2.63,67.42,2.79,38.6,3,7.988203597,88.79,66.83,1.32,22.21,1983,2.71,0.17,54600,67500,86300,369,423,485,510,24.8,22.2,11.1,0,0,7.36,23.9,31.24,60.18,68.13,4.203198967,950.2,0.139761942,0,602.99
FL,3,11.08908761,2.45,5.26,91.28,1.99,11.51,10.07,22.93,9.64,18.32,11.0866248,99.75,36431,74.03,0.31,50.77,34.6,2.63,15.1,41827,16747,17128,12998,9.7055243,9.403024716,12032,14534,8.087332926,5.08,5.08,18.2,20.9,3.51,60.67,7.93,22.33,5.92,30.76,8.16,22.54,12.53,10.53,2.87,80.41,78.9,89.94,80.27,68.81,75.74,6.728628613,1.81,9.189116736,8.69,13.61,18.65,26.79,1.3,2.04,2.79,4.01,82.15,2.16,2.56,1.8,2.4,2.45,2.23,78.44,2.95,63.74,2,7.946263644,90.44,76.79,0.18,22.27,1981,0.33,0.12,77200,93800,118000,522,608,676,685,27,22.1,13.7,0,0,14.96,24.78,41.18,62.37,79.51,3.529297384,1977.9,0.565313809,0,305.77
CA,3,11.24452301,2.63,6.72,69.91,19.25,9.09,12.98,29.22,15.31,10.55,11.24452301,100,38122,79.87,0.6,50.91,20.86,5.98,17.14,44687,19833,22162,12610,9.946163827,9.630234217,12398,12964,8.447414297,6.81,4.09,11.89,31.26,3.53,71.08,11.28,24.91,8.92,36.28,10.82,37.72,16.09,13.3,3.02,71.07,70.29,84.95,71.5,67.08,71.77,7.106606138,2.84,9.485924559,12.97,21.36,33.04,41.02,2.23,3.68,5.69,7.07,77.04,3.41,4.78,2.91,2.36,2.46,2.28,48.16,6.39,63.06,2,7.274479559,95.28,46.28,0.69,17.41,1955,1.41,0.41,209800,267600,356200,517,632,747,676,27,26.1,11.3,3.583518938,0,17.23,41.47,40.05,64.3,77.54,2.493205453,6865.9,2.738256043,0,599.49
CA,3,9.923927232,2.57,1.15,78.25,16.89,11.17,11.19,22.26,10.56,17.04,9.923927232,100,45999,74.86,0.8,57.29,32.25,2.44,21.98,53055,21764,22916,11580,10.32180307,9.809286757,14943,15730,6.9902565,5.4,6.32,15.9,24.29,3.19,60.09,8.17,21.65,8.21,30.08,7.62,27.36,10.72,9.26,2.98,79.05,77.17,92.59,79.52,51.73,63.9,4.997212274,0.97,8.587278799,14.9,23.42,34.17,37.93,3.91,6.15,8.98,9.96,67.45,4.65,4.03,2.99,2.53,2.64,2.34,66.88,5.26,41.1,3,5.420534999,97.24,64.12,0.44,20.44,1957,0.38,0.11,323900,410200,500001,629,770,982,838,31.6,23.4,11.3,0,0,26.27,51.44,59.1,79.96,90.48,1.458615023,6133.4,1.805004696,0,290.85
CA,3,10.78500049,2.63,0.77,71.48,23.45,10.66,13.88,24.44,12.17,14.51,10.78500049,100,47347,76.91,1.37,58.06,26.65,3.58,16.73,57238,25441,28492,21896,8.951310542,9.824173746,13736,15675,7.824845691,5.23,4.69,11.12,36.39,3.63,60.14,12.06,26.9,4.91,41.76,7.68,28.65,11.51,9.73,3.1,80.37,79.64,91.71,83.75,47.09,59.63,5.730099783,0.89,9.497622364,22.29,33.32,48.3,55.35,6.15,9.2,13.33,15.27,67.33,6.21,4.91,3.53,2.6,2.83,2.23,67.04,6.06,48.6,3,7.031741259,94.19,61.57,2.92,24.14,1957,0.42,0.36,316400,440800,500001,538,657,857,716,28.7,24,11.3,0,1.098612289,27.6,41.82,52.33,82.72,86.27,2.509599262,4284.1,1.01523068,0,398.76
CA,3,10.51309007,3.42,4.03,54.48,1.6,68.13,17.04,33.32,16.69,7.4,10.51309007,100,25976,80.51,1.18,22.47,20.18,11.32,12.22,26925,9244,11433,6074,9.217018027,9.267287652,6445,6411,8.942853007,21.24,30.07,48.01,9.2,9.83,59.1,3.67,18.35,13.28,14.29,8.95,34.56,14.28,11.59,3.8,70.16,64.08,77.66,76.73,58.15,64.36,7.454141078,5.82,9.343734255,20.84,34.09,44.16,52.92,6.47,10.59,13.71,16.44,38.92,21.27,18.06,14,3.35,3.25,3.45,47.52,29.63,64.35,2,7.73280753,82.49,49.04,6.53,13.9,1975,7.05,0.94,68000,83600,101900,309,436,527,495,28.7,23.1,11.8,3.091042453,2.079441542,31.05,45.7,42.86,74.85,85.82,2.923161581,2084.8,0.760805829,0,950.75
CA,3,9.931637596,2.77,9.5,69.05,7.39,23.22,12.51,22.42,10.59,18.92,0,0,22514,58.21,0.35,34.15,43.36,18.38,24.93,27171,11194,13075,8946,8.733271845,8.350666241,7255,6681,8.133587418,16.86,13.25,36.72,9.8,10.81,42.67,11.81,20.94,17.09,17.2,10.78,25.01,14.06,12.51,3.19,65.94,62.07,71.03,78.93,42.92,55.76,6.583409222,3.86,7.964155719,19.34,28.31,34.61,48.63,2.7,3.96,4.84,6.8,75.33,7.18,10.1,7.35,2.72,2.48,3.18,59.68,12,63.09,2,6.742880636,89.77,65.46,3.07,29.04,1968,6.94,0.36,66700,90300,127400,301,396,484,471,30.2,23.8,12.7,3.610917913,0,13.98,44.76,41.35,68.15,90.3,3.000719815,1077,0.364643114,0,895.24
CA,3,9.583282288,3.04,2.69,70.79,1.87,35.94,14.51,26.83,11.88,11.71,0,0,24649,75.39,2.77,28.78,26.45,17.34,12.31,29481,11345,13122,6698,9.054271186,9.881241944,6119,6946,7.930565854,19.4,18.32,36.97,12.11,10.21,54.9,10.71,20.98,16.27,20.1,9.49,26.8,13.89,11.77,3.39,69.37,64.97,69.01,75.58,46.65,61.89,5.888877958,2.9,7.795646536,12.31,16.8,25.65,36.89,2.06,2.81,4.29,6.17,64.45,7.84,9.73,7.42,2.94,2.86,3.06,58.45,13.14,40.59,3,5.700443573,94.12,60.12,0.34,18.46,1969,6.2,0.28,84200,113500,151600,256,331,405,410,28.9,22.6,12.8,2.890371758,0,16.73,59.19,51.15,76.42,92.99,2.104134154,2007.6,0,0,1647.53
CA,3,10.10389458,2.65,5.32,84.02,7.95,7.4,12.55,22.31,9.96,7.51,10.10389458,100,49660,83.75,0.8,49.44,17.08,5.31,17.6,56735,20663,21312,18319,9.57602461,9.691654792,19491,14889,7.188412736,5.43,2.81,9.59,32.62,4.19,71.26,12.39,23.8,8.19,35.88,11.39,24.76,15.1,13.3,3.1,77.42,76.13,85.46,72.41,58.59,70.45,5.638354669,1.83,7.72841578,8.5,17.17,20.17,27.83,0.79,1.6,1.87,2.59,88.27,1.17,3.67,2.7,2.65,2.79,2.32,73.87,2.66,38.88,3,5.940171253,96.05,70.13,1.06,13.98,1978,1.38,0.26,156300,202500,248800,473,599,778,672,27.8,26.2,11.3,0,0,9.29,53,41.99,63.73,88.06,2.653241965,1844.6,1.413423029,0,261.4
CA,3,11.31577855,2.91,2,40.85,38.14,36.08,14,30.72,14.87,11.07,11.31577855,100,31368,79.08,0.31,37.86,21.03,11.58,11.72,34170,13436,16318,15499,9.373818841,9.3284789,11370,11735,9.377548291,14.75,14.56,27.91,22.92,6.05,59.34,15.91,22.38,12.48,27.7,8.03,38.82,12.06,10.17,3.4,71.03,67.3,78.12,71.33,56.64,62.64,7.863651265,4.63,10.55880305,19.06,28.82,43.59,57.86,8.94,13.52,20.45,27.14,36.23,17.72,11.37,7.87,2.83,2.94,2.76,42.08,21.45,73.24,2,7.21964204,95.39,40.59,2.93,20.29,1955,2.02,0.51,178200,231000,286900,483,587,702,636,28.4,25.4,11.4,3.988984047,0.693147181,46.91,36.62,41.72,79.52,83.52,2.186051277,10393.2,1.944480556,0,544.59
CA,3,11.11930493,2.25,5.03,72.73,14.72,16.04,8.87,29.23,11.77,8.73,11.11930493,100,42431,87.02,0.45,52.82,16.05,4.05,11.34,48960,22436,24658,17150,9.730086093,9.841133311,11074,12091,8.332789468,6.22,6.41,13.37,40.75,3.17,75.75,32.45,22.37,7.68,41.18,12.62,40.45,17.16,14.85,2.93,72.73,70.62,86.26,72.37,65.28,71.9,6.869014451,2.56,9.651172624,27.99,38.3,50.1,60.95,6.45,8.82,11.54,14.04,72.62,7.18,5.63,2.97,2.23,2.26,2.21,38.26,8.6,70.35,2,7.311886164,95.25,37.75,0.8,9.89,1966,1.05,0.19,270600,347000,439700,593,715,897,760,26,25.1,11.7,4.727387819,1.791759469,23.03,36.79,35.18,60.58,78.07,2.602689685,5410.7,1.646733697,0,411.23
CA,3,9.719744987,2.64,0.83,91.77,6.81,2.42,10.46,15.77,7.6,15.08,9.719744987,100,80968,76.22,1.33,75.97,26.82,2.55,18.61,89205,40558,41978,36245,10.37919364,10.07508515,22698,33316,5.973809612,2.36,0.62,2.95,66.02,2.98,61.31,8.98,36.79,3.03,59.3,6.11,20.53,8.79,7.49,2.92,89.79,87.89,100,89.35,50.33,58.23,3.63758616,0.31,7.500529485,4.54,7.41,11.12,18.31,0.49,0.81,1.21,1.99,88.37,0.79,2.44,1.95,2.63,2.68,2.18,92.9,0.33,12.05,3,5.141663557,97.37,91.4,1.18,31.18,1957,0,0,340100,432200,500001,491,946,1001,1001,30.1,23.2,11.2,0,0,10.86,51.66,64.99,76.69,92.21,2.63905733,1275.8,2.54709867,0,51.42
CA,3,11.37980542,3.32,8.7,67.75,4.53,36.1,15.17,31.12,13.52,4.99,11.37980542,100,35558,84.36,0.67,21.61,15.11,10.11,12.96,38055,11585,12613,9665,9.315330819,9.401126007,8529,8618,9.197052478,11.4,10.59,28.02,9.44,7.37,63.45,20.75,17.5,20.56,17.9,9.47,28.9,13.97,11.77,3.64,74.6,70.53,84.5,75.28,46.49,57.41,7.90617884,4.56,9.576718091,15.23,24.35,34.39,45.18,2.51,4.01,5.67,7.45,69.88,6.43,11.8,9.6,3.3,3.37,3.17,65.6,13.4,42.51,3,8.006034179,89.8,64.19,1.9,14.14,1983,5.61,0.25,108700,134600,158500,433,519,597,577,30.3,27.7,12,2.397895273,3.258096538,16.48,56.78,31.61,56.62,90.53,3.634951112,2372,0.470003629,0,1333.23
CA,3,10.32521963,2.96,2.27,73.14,12.08,33.48,13.75,31.95,15.34,8.54,10.32521963,100,33367,83.88,0.2,23.1,19.5,8.22,12.85,35781,12803,13952,12203,9.491677357,9.291459423,7927,7901,8.318986125,13.62,13.83,29.64,14.18,8.43,65.39,27.15,14.75,18.21,21.54,10.67,35.38,15.89,13.28,3.41,70.11,64.4,80.13,75.47,57.62,63.87,6.842683282,4.26,9.149634497,24.54,36.61,49.14,61.02,7.57,11.3,15.17,18.83,58.83,15.14,13.34,9.33,2.92,2.64,3.19,45.39,17.83,67.93,2,6.109247583,95.83,50.05,0.89,20.27,1969,3.49,0.19,142800,171100,201300,587,671,743,718,30.6,25.8,11.3,3.761200116,0,30.86,40.06,41.64,73.75,84.56,1.435084525,9422.4,1.53686722,0,997.03
CA,3,9.667258762,3.42,0.39,59.45,6.07,58.24,17.55,32.3,17,10.11,0,0,24128,77.29,2.29,29.86,26.87,14.48,12.15,25588,8791,10570,3073,8.18729927,9.380673689,5231,5512,8.144388866,22.42,31.51,46.11,10.39,15.46,54.83,10.78,20.62,15.6,16.62,5.78,34.22,10.18,7.91,3.66,72.71,66.94,74.16,75.17,59.6,66.27,6.583409222,5.6,8.408493774,24.82,38.38,45.56,52.79,7.05,10.9,12.94,14.99,48.3,18.35,16.1,13.39,3.35,3.21,3.53,55.12,20.6,53.37,2,4.997212274,96.91,57.43,2.04,32.65,1970,6.82,0.59,61300,74500,95500,269,357,421,431,29.1,22.1,11,0,0,28.4,50.62,45.21,79.38,90.01,1.609437912,3912.5,0.647103242,0,724.94
CA,3,9.46962297,3.01,0.25,66.05,32.33,5.05,16.08,22.09,11.96,13.98,9.46962297,100,100077,75.58,1.19,73.93,27.52,1.1,14.37,105123,49537,59612,60000,0,10.30199518,26779,28906,6.210600077,3.88,1.51,4.77,61.5,2.81,56.28,9.55,35.84,2.28,60.55,2.35,26.64,6.27,4.4,3.23,89.99,86.37,96.99,81.88,56.31,57.48,4.110873864,0.6,8.218517577,15.75,24.7,41.21,51.29,4.51,7.07,11.79,14.68,65.55,5.21,6.17,5.25,2.98,2.96,3.24,93.36,4.49,13.71,3,5.093750201,96.37,93.91,0,45.06,1941,0.19,0,500001,500001,500001,1001,1001,1001,1001,14.9,22,11.7,0,0,28.61,40.64,64.62,85.78,88.98,1.589235205,3322.8,0.688134639,0,198.88
CA,3,11.60462003,3.04,51.88,17.4,2.51,38.55,15.49,32.09,15.48,6.13,11.60462003,100,29881,83.47,0.6,19.34,16.07,11.32,10.45,32077,11899,13089,14437,9.949416484,9.572967566,6083,6504,9.787346917,16.47,17.16,34,14.93,10,62.87,17.35,22.35,15.73,20.93,11.74,42.29,18.78,15.42,3.62,57.06,54.18,68.39,63.51,59.19,67.29,9.066008001,11.89,10.36315671,21.64,32.37,42.49,56.37,6.25,9.35,12.28,16.29,59.93,14.03,16.2,11.12,2.99,3.12,2.92,37.88,24.45,78.45,2,7.86787149,93.26,36.31,3.1,19.92,1958,4.42,0.92,135000,170400,210100,468,556,670,618,31.2,26.3,12.8,2.397895273,4.564348191,28.9,39.84,45.42,85.65,87.55,2.351375257,11537.1,2.140066163,5.83,2078.85
CA,3,10.08318066,2.34,3.11,69.82,21.25,13.42,11.69,27.02,11.88,10.61,10.08318066,100,43043,83.39,0.6,51.49,17.58,3.39,10.13,55808,26106,27886,29668,9.703999491,10.03565552,15419,16887,7.077498054,5,3.88,8.37,48.96,2.55,68.65,9.65,36.46,3.28,51.51,9.55,36.33,14.63,12.3,3.05,74.48,74.91,92.86,72.79,51.01,65.11,5.283203729,1.4,8.632305999,12.93,20,30.36,39.08,3.03,4.69,7.11,9.16,68.01,4.34,5.1,2.94,2.31,2.79,1.94,53.44,5.75,64.46,2,6.190315406,95.46,44.4,2.05,23.61,1951,0.38,0.09,278900,383600,500001,538,643,743,696,25.9,23.5,10.9,0,0,23.43,44.91,48.73,82.64,87.33,1.526056303,6731.2,0.996948635,0,348.5
FL,3,10.47214803,2.36,1,97.72,0.78,1.95,10.4,20.43,9.47,21.3,10.47214803,100,26472,66.48,0.82,46.54,40.83,3.15,26.55,30693,13391,13401,15802,9.297343416,8.594524534,11296,12017,7.966239777,8.22,5.35,20.23,15.26,4.54,55.3,7.84,22.45,8.63,24.67,9.46,20.81,12.41,11,2.75,78.23,75.48,89.78,72.82,67.41,77.94,5.541263545,0.92,7.544332108,2.54,5.72,8.63,12.39,0.14,0.31,0.46,0.66,92.48,0.62,2.14,1.53,2.35,2.36,2.32,79.08,1.53,57.92,2,7.628517627,87.93,78.84,0.49,19.42,1981,2.2,0.26,65600,78900,95300,367,443,515,547,28.7,24.3,11.8,0,0,5.35,20.28,41.21,66.7,73.03,3.08190997,1694,0.470003629,0,184.39
